観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在の積雪の深さ(cm),現在の積雪の深さの品質情報,現在の積雪の深さの平年比（%）,日平年値,日平年値の品質情報,日平年値の現象なし情報,極値更新,10年未満での極値更新,昨冬までの観測史上1位の値（cm）,昨冬までの観測史上1位の値の品質情報,昨冬までの観測史上1位の値観測時の年,昨冬までの観測史上1位の値観測時の月,昨冬までの観測史上1位の値観測時の日,昨冬までの2月の1位の値（cm）,昨冬までの2月の1位の値の品質情報,昨冬までの2月の1位の値観測時の年,昨冬までの2月の1位の値観測時の月,昨冬までの2月の1位の値観測時の日,統計開始年
15156,北海道空知地方,秩父別（チップベツ）,,2026,02,11,04,00,104,8,,,1,9,,,165,8,2025,02,10,165,8,2025,02,10,2022
15161,北海道空知地方,深川（フカガワ）,,2026,02,11,04,00,77,8,92,84,8,9,,,158,8,1987,03,07,150,8,1988,02,29,1981
15241,北海道空知地方,滝川（タキカワ）,,2026,02,11,04,00,74,8,81,91,8,9,,,167,8,2018,02,23,167,8,2018,02,23,1982
15251,北海道空知地方,芦別（アシベツ）,,2026,02,11,04,00,61,8,98,62,8,9,,,130,8,2022,01,14,114,8,2018,02,16,1981
15321,北海道空知地方,美唄（ビバイ）,,2026,02,11,04,00,76,8,86,88,8,9,,,167,8,2018,02,26,167,8,2018,02,26,1981
15356,北海道空知地方,岩見沢（イワミザワ）,47413,2026,02,11,04,00,51,8,54,94,8,0,,,208,8,2012,02,12,208,8,2012,02,12,1946
15442,北海道空知地方,夕張（ユウバリ）,,2026,02,11,04,00,80,8,78,102,8,9,,,196,8,1987,03,07,192,8,1996,02,02,1979
16076,北海道後志地方,余市（ヨイチ）,,2026,02,11,04,00,84,8,81,104,8,9,,,196,8,2006,02,10,196,8,2006,02,10,1981
16091,北海道後志地方,小樽（オタル）,47411,2026,02,11,04,00,96,8,102,94,8,0,,,173,8,1945,02,19,173,8,1945,02,19,1943
16126,北海道後志地方,赤井川（アカイガワ）,,2026,02,11,04,00,120,8,92,131,8,9,,,248,8,1991,02,17,248,8,1991,02,17,1988
16156,北海道後志地方,共和（キョウワ）,,2026,02,11,04,00,55,8,63,87,8,9,,,177,8,1991,02,17,177,8,1991,02,17,1984
16206,北海道後志地方,蘭越（ランコシ）,,2026,02,11,04,00,117,8,111,105,8,9,,,200,8,1988,02,21,200,8,1988,02,21,1981
16217,北海道後志地方,倶知安（クッチャン）,47433,2026,02,11,04,00,135,8,89,152,8,0,,,312,8,1970,03,25,262,8,1970,02,23,1944
16252,北海道後志地方,寿都（スッツ）,47421,2026,02,11,04,00,80,8,145,55,8,0,,,189,8,1945,03,17,180,8,1945,02,17,1884
16286,北海道後志地方,喜茂別（キモベツ）,,2026,02,11,04,00,118,8,99,119,8,9,,,189,8,1999,02,08,189,8,1999,02,08,1981
16321,北海道後志地方,黒松内（クロマツナイ）,,2026,02,11,04,00,127,8,119,107,8,9,,,214,8,2022,02,23,214,8,2022,02,23,1981
17036,北海道網走・北見・紋別地方,雄武（オウム）,47405,2026,02,11,04,00,39,8,80,49,8,0,,,133,8,1979,04,01,121,8,1958,02,15,1942
17091,北海道網走・北見・紋別地方,西興部（ニシオコッペ）,,2026,02,11,04,00,56,8,78,72,8,9,,,163,8,2004,01,16,141,8,2004,02,23,1985
17112,北海道網走・北見・紋別地方,紋別（モンベツ）,47435,2026,02,11,04,00,39,8,98,40,8,0,,,127,8,1958,02,13,127,8,1958,02,13,1956
17116,北海道網走・北見・紋別地方,紋別小向（モンベツコムカイ）,,2026,02,11,04,00,45,8,85,53,8,9,,,98,8,2013,03,10,87,8,2013,02,25,2008
17196,北海道網走・北見・紋別地方,滝上（タキノウエ）,,2026,02,11,04,00,42,8,63,67,8,9,,,204,8,2004,01,15,172,8,2004,02,23,1984
17306,北海道網走・北見・紋別地方,遠軽（エンガル）,,2026,02,11,04,00,40,8,69,58,8,9,,,156,8,2004,01,16,146,8,2004,02,23,1984
17316,北海道網走・北見・紋別地方,佐呂間（サロマ）,,2026,02,11,04,00,47,8,73,64,8,9,,,164,8,2004,01,16,156,8,2004,02,23,1988
17341,北海道網走・北見・紋別地方,網走（アバシリ）,47409,2026,02,11,04,00,40,8,100,40,8,0,,,143,8,2004,02,23,143,8,2004,02,23,1890
17351,北海道網走・北見・紋別地方,宇登呂（ウトロ）,,2026,02,11,04,00,89,8,109,82,8,9,,,200,8,2015,03,02,186,8,2014,02,20,1988
17482,北海道網走・北見・紋別地方,白滝（シラタキ）,,2026,02,11,04,00,53,8,95,56,8,9,,,130,8,2022,12,24,120,8,2015,02,27,1993
17521,北海道網走・北見・紋別地方,北見（キタミ）,,2026,02,11,04,00,15,8,29,52,8,9,,,171,8,2004,01,16,135,8,2004,02,23,1979
17531,北海道網走・北見・紋別地方,女満別（メマンベツ）,,2026,02,11,04,00,48,8,114,42,8,9,,,72,8,2015,03,05,71,8,2015,02,14,2006
17561,北海道網走・北見・紋別地方,斜里（シャリ）,,2026,02,11,04,00,17,8,27,62,8,9,,,155,4,1990,03,13,154,8,1991,02,22,1985
17596,北海道網走・北見・紋別地方,留辺蘂（ルベシベ）,,2026,02,11,04,00,31,8,65,48,8,9,,,154,8,2004,02,23,154,8,2004,02,23,1984
17717,北海道網走・北見・紋別地方,津別（ツベツ）,,2026,02,11,04,00,45,8,79,57,8,9,,,165,8,2004,01,16,137,8,2004,02,23,1987
18038,北海道根室地方,羅臼（ラウス）,,2026,02,11,04,00,46,8,85,54,8,9,,,179,8,2015,02,02,179,8,2015,02,02,2005
18171,北海道根室地方,中標津（ナカシベツ）,,2026,02,11,04,00,42,8,86,49,8,9,,,156,8,2015,03,04,111,8,2002,02,19,1985
18174,北海道根室地方,根室中標津（ネムロナカシベツ）,,2026,02,11,04,00,45,8,113,40,8,9,,,140,8,2015,03,02,92,4,2015,02,28,2006
18256,北海道根室地方,別海（ベツカイ）,,2026,02,11,04,00,36,8,92,39,8,9,,,111,8,2015,03,04,94,8,2022,02,21,1988
18273,北海道根室地方,根室（ネムロ）,47420,2026,02,11,04,00,17,8,100,17,8,0,,,115,4,2014,03,21,88,8,1953,02,01,1879
18311,北海道根室地方,厚床（アットコ）,,2026,02,11,04,00,17,8,55,31,8,9,,,98,8,2015,03,04,87,4,2022,02,22,1986
19021,北海道釧路地方,川湯（カワユ）,,2026,02,11,04,00,60,8,92,65,8,9,,,175,8,2004,03,07,173,8,2004,02,23,1985
19076,北海道釧路地方,阿寒湖畔（アカンコハン）,,2026,02,11,04,00,42,8,53,79,8,9,,,218,8,2004,01,22,197,8,2004,02,23,1986
19151,北海道釧路地方,標茶（シベチャ）,,2026,02,11,04,00,22,8,59,37,8,9,,,116,8,2004,02,23,116,8,2004,02,23,1987
19191,北海道釧路地方,鶴居（ツルイ）,,2026,02,11,04,00,35,8,95,37,8,9,,,108,8,2000,03,24,91,8,1991,02,21,1985
19261,北海道釧路地方,中徹別（ナカテシベツ）,,2026,02,11,04,00,39,8,85,46,8,9,,,138,8,2015,03,04,111,8,2015,02,28,1988
19347,北海道釧路地方,鶴丘（ツルオカ）,,2026,02,11,04,00,14,8,58,24,8,9,,,89,8,2015,03,02,63,8,2009,02,22,2006
19376,北海道釧路地方,太田（オオタ）,,2026,02,11,04,00,17,8,47,36,8,9,,,94,8,2017,01,23,82,8,2004,02,23,1986
19416,北海道釧路地方,白糠（シラヌカ）,,2026,02,11,04,00,15,8,50,30,8,9,,,89,8,2025,02,04,89,8,2025,02,04,1986
19432,北海道釧路地方,釧路（クシロ）,47418,2026,02,11,04,00,9,8,56,16,8,0,,,123,8,1939,03,09,107,8,1953,02,02,1910
20146,北海道十勝地方,陸別（リクベツ）,,2026,02,11,04,00,38,8,76,50,8,9,,,125,8,2004,02,23,125,8,2004,02,23,1986
20186,北海道十勝地方,ぬかびら源泉郷（ヌカビラゲンセンキョウ）,,2026,02,11,04,00,52,8,72,72,8,9,,,149,8,2004,02,23,149,8,2004,02,23,1984
20266,北海道十勝地方,上士幌（カミシホロ）,,2026,02,11,04,00,38,8,103,37,8,9,,,98,8,2002,02,18,98,8,2002,02,18,1987
20341,北海道十勝地方,本別（ホンベツ）,,2026,02,11,04,00,26,8,76,34,8,9,,,116,8,2025,02,04,116,8,2025,02,04,1985
20356,北海道十勝地方,新得（シントク）,,2026,02,11,04,00,19,8,39,49,8,9,,,119,8,2001,03,04,110,8,2004,02,23,1984
20421,北海道十勝地方,芽室（メムロ）,,2026,02,11,04,00,41,8,77,53,8,9,,,126,8,2001,03,04,117,8,2004,02,23,1987
20432,北海道十勝地方,帯広（オビヒロ）,47417,2026,02,11,04,00,37,8,79,47,8,0,,,177,8,1970,03,17,134,8,1958,02,13,1892
20506,北海道十勝地方,浦幌（ウラホロ）,,2026,02,11,04,00,11,8,32,34,8,9,,,100,8,2025,02,04,100,8,2025,02,04,1985
20551,北海道十勝地方,帯広泉（オビヒロイズミ）,,2026,02,11,04,00,46,8,81,57,8,9,,,135,8,2018,03,01,125,8,2016,02,29,2006
20601,北海道十勝地方,上札内（カミサツナイ）,,2026,02,11,04,00,27,8,42,65,8,9,,,163,8,1991,02,28,163,8,1991,02,28,1984
20696,北海道十勝地方,大樹（タイキ）,,2026,02,11,04,00,53,8,80,66,8,9,,,168,4,1991,02,16,168,4,1991,02,16,1985
20751,北海道十勝地方,広尾（ヒロオ）,47440,2026,02,11,04,00,4,8,7,60,8,0,,,196,8,1970,03,17,164,8,1958,02,13,1958
21031,北海道胆振地方,安平（アビラ）,,2026,02,11,04,00,43,8,90,48,8,9,,,127,8,2022,02,23,127,8,2022,02,23,1983
21126,北海道胆振地方,穂別（ホベツ）,,2026,02,11,04,00,20,8,49,41,8,9,,,78,8,1987,02,14,78,8,1987,02,14,1983
21161,北海道胆振地方,大滝（オオタキ）,,2026,02,11,04,00,116,8,117,99,8,9,,,208,8,2018,03,02,179,8,1985,02,21,1983
21187,北海道胆振地方,苫小牧（トマコマイ）,47424,2026,02,11,04,00,14,8,88,16,8,0,,,77,8,1978,03,11,67,8,1969,02,05,1942
21226,北海道胆振地方,大岸（オオキシ）,,2026,02,11,04,00,48,8,81,59,8,9,,,162,8,2022,02,22,162,8,2022,02,22,1983
21261,北海道胆振地方,白老（シラオイ）,,2026,02,11,04,00,23,8,164,14,8,9,,,70,8,1985,03,09,60,8,1985,02,21,1983
21312,北海道胆振地方,登別（ノボリベツ）,,2026,02,11,04,00,53,8,93,57,8,9,,,144,8,2012,02,26,144,8,2012,02,26,1988
21323,北海道胆振地方,室蘭（ムロラン）,47423,2026,02,11,04,00,21,8,175,12,8,0,,,68,8,1958,02,13,68,8,1958,02,13,1923
22036,北海道日高地方,日高（ヒダカ）,,2026,02,11,04,00,32,8,51,63,8,9,,,122,8,1987,03,07,120,8,1987,02,27,1984
22106,北海道日高地方,旭（アサヒ）,,2026,02,11,04,00,18,8,56,32,8,9,,,75,8,2018,02,06,75,8,2018,02,06,2004
22241,北海道日高地方,静内（シズナイ）,,2026,02,11,04,00,3,8,27,11,8,9,,,43,8,2018,02,06,43,8,2018,02,06,1988
22306,北海道日高地方,中杵臼（ナカキネウス）,,2026,02,11,04,00,29,8,64,45,8,9,,,106,8,2018,03,02,104,8,1991,02,23,1984
22327,北海道日高地方,浦河（ウラカワ）,47426,2026,02,11,04,00,,8,0,7,8,0,,,52,8,1928,01,07,47,8,1939,02,10,1927
22356,北海道日高地方,目黒（メグロ）,,2026,02,11,04,00,12,8,21,56,8,9,,,148,8,2020,03,05,138,8,2012,02,27,1984
23031,北海道渡島地方,長万部（オシャマンベ）,,2026,02,11,04,00,48,8,89,54,8,9,,,113,8,2013,02,25,113,8,2013,02,25,1982
23086,北海道渡島地方,八雲（ヤクモ）,,2026,02,11,04,00,49,8,82,60,8,9,,,121,8,2012,02,27,121,8,2012,02,27,1982
23166,北海道渡島地方,森（モリ）,,2026,02,11,04,00,32,8,67,48,8,9,,,103,8,2012,02,26,103,8,2012,02,26,2002
23191,北海道渡島地方,大沼（オオヌマ）,,2026,02,11,04,00,33,8,66,50,8,9,,,112,8,2018,02,17,112,8,2018,02,17,1982
23232,北海道渡島地方,函館（ハコダテ）,47430,2026,02,11,04,00,18,8,62,29,8,0,,,91,8,2012,02,27,91,8,2012,02,27,1872
23281,北海道渡島地方,高松（タカマツ）,,2026,02,11,04,00,4,8,31,13,8,9,,,66,8,2018,02,06,66,8,2018,02,06,2006
23356,北海道渡島地方,千軒（センゲン）,,2026,02,11,04,00,87,8,88,99,8,9,,,226,8,1984,03,18,201,8,2012,02,27,1982
24141,北海道渡島地方,熊石（クマイシ）,,2026,02,11,04,00,30,8,94,32,8,9,,,95,8,1984,02,08,95,8,1984,02,08,1982
24051,北海道檜山地方,今金（イマカネ）,,2026,02,11,04,00,81,8,108,75,8,9,,,149,8,1984,03,17,140,8,2022,02,23,1982
24201,北海道檜山地方,鶉（ウズラ）,,2026,02,11,04,00,64,8,98,65,8,9,,,161,8,2018,02,19,161,8,2018,02,19,1982
24217,北海道檜山地方,江差（エサシ）,47428,2026,02,11,04,00,21,8,162,13,8,0,,,194,8,1945,02,26,194,8,1945,02,26,1941
31001,青森県,大間（オオマ）,,2026,02,11,04,00,1,8,8,12,8,9,,,86,8,1999,03,22,75,8,2012,02,01,1983
31111,青森県,むつ（ムツ）,47576,2026,02,11,04,00,31,8,82,38,8,0,,,170,8,1977,02,15,170,8,1977,02,15,1935
31136,青森県,今別（イマベツ）,,2026,02,11,04,00,83,8,136,61,8,9,,,155,8,1984,02,20,155,8,1984,02,20,1979
31156,青森県,脇野沢（ワキノサワ）,,2026,02,11,04,00,83,8,180,46,8,9,,,147,8,1984,03,08,147,8,1984,02,29,1983
31296,青森県,五所川原（ゴショガワラ）,,2026,02,11,04,00,90,8,150,60,8,9,,,163,8,1986,02,11,163,8,1986,02,11,1979
31312,青森県,青森（アオモリ）,47575,2026,02,11,04,00,120,8,169,71,8,0,,,209,8,1945,02,21,209,8,1945,02,21,1893
31332,青森県,野辺地（ノヘジ）,,2026,02,11,04,00,68,8,219,31,8,9,,,115,8,2022,02,17,115,8,2022,02,17,2008
31366,青森県,鰺ケ沢（アジガサワ）,,2026,02,11,04,00,57,8,163,35,8,9,,,108,8,2005,02,28,108,8,2005,02,28,1983
31386,青森県,青森大谷（アオモリオオタニ）,,2026,02,11,04,00,131,8,,,1,9,,,214,8,2025,01,05,191,4,2025,02,11,2020
